year,base_year,value,index_type,series_type,series_deflated,data_version
1985,1968,4.54,inflation,indexed,nominal,"November 9, 2023"
1986,1968,4.61,inflation,indexed,nominal,"November 9, 2023"
1987,1968,4.77,inflation,indexed,nominal,"November 9, 2023"
1988,1968,4.95,inflation,indexed,nominal,"November 9, 2023"
1989,1968,5.16,inflation,indexed,nominal,"November 9, 2023"
1990,1968,5.41,inflation,indexed,nominal,"November 9, 2023"
1991,1968,5.61,inflation,indexed,nominal,"November 9, 2023"
1992,1968,5.75,inflation,indexed,nominal,"November 9, 2023"
1993,1968,5.9,inflation,indexed,nominal,"November 9, 2023"
1994,1968,6.02,inflation,indexed,nominal,"November 9, 2023"
1995,1968,6.16,inflation,indexed,nominal,"November 9, 2023"
1996,1968,6.33,inflation,indexed,nominal,"November 9, 2023"
1997,1968,6.47,inflation,indexed,nominal,"November 9, 2023"
1998,1968,6.55,inflation,indexed,nominal,"November 9, 2023"
1999,1968,6.69,inflation,indexed,nominal,"November 9, 2023"
2000,1968,6.9,inflation,indexed,nominal,"November 9, 2023"
2001,1968,7.05,inflation,indexed,nominal,"November 9, 2023"
2002,1968,7.14,inflation,indexed,nominal,"November 9, 2023"
2003,1968,7.28,inflation,indexed,nominal,"November 9, 2023"
2004,1968,7.47,inflation,indexed,nominal,"November 9, 2023"
2005,1968,7.69,inflation,indexed,nominal,"November 9, 2023"
2006,1968,7.91,inflation,indexed,nominal,"November 9, 2023"
2007,1968,8.11,inflation,indexed,nominal,"November 9, 2023"
2008,1968,8.41,inflation,indexed,nominal,"November 9, 2023"
2009,1968,8.38,inflation,indexed,nominal,"November 9, 2023"
2010,1968,8.49,inflation,indexed,nominal,"November 9, 2023"
2011,1968,8.75,inflation,indexed,nominal,"November 9, 2023"
2012,1968,8.92,inflation,indexed,nominal,"November 9, 2023"
2013,1968,9.03,inflation,indexed,nominal,"November 9, 2023"
2014,1968,9.16,inflation,indexed,nominal,"November 9, 2023"
2015,1968,9.15,inflation,indexed,nominal,"November 9, 2023"
2016,1968,9.24,inflation,indexed,nominal,"November 9, 2023"
2017,1968,9.4,inflation,indexed,nominal,"November 9, 2023"
2018,1968,9.59,inflation,indexed,nominal,"November 9, 2023"
2019,1968,9.73,inflation,indexed,nominal,"November 9, 2023"
2020,1968,9.84,inflation,indexed,nominal,"November 9, 2023"
2021,1968,10.27,inflation,indexed,nominal,"November 9, 2023"
2022,1968,11.06,inflation,indexed,nominal,"November 9, 2023"
2023,1968,11.55,inflation,indexed,nominal,"November 9, 2023"
2009,2009,7.25,inflation,indexed,nominal,"November 9, 2023"
2010,2009,7.35,inflation,indexed,nominal,"November 9, 2023"
2011,2009,7.58,inflation,indexed,nominal,"November 9, 2023"
2012,2009,7.72,inflation,indexed,nominal,"November 9, 2023"
2013,2009,7.82,inflation,indexed,nominal,"November 9, 2023"
2014,2009,7.93,inflation,indexed,nominal,"November 9, 2023"
